date,tvl_usd
2021-11-16,703314648.64037
2021-11-17,720068394.67777
2021-11-18,727161667.22109
2021-11-19,745820247.00672
2021-11-20,784263784.79028
2021-11-21,805411768.75569
2021-11-22,814189459.62739
2021-11-23,829955075.17795
2021-11-24,830917712.64173
2021-11-25,843449589.6155
2021-11-26,842764677.42697
2021-11-27,842063166.53054
2021-11-28,848867630.04232
2021-11-29,869906143.26823
2021-11-30,885151908.91477
2021-12-01,909579474.9626
2021-12-02,909607346.04656
2021-12-03,933646442.76236
2021-12-04,933002913.95458
2021-12-05,932885827.63019
2021-12-06,934654487.11205
2021-12-07,936876929.66586
2021-12-08,982619201.72341
2021-12-09,1019145764.80119
2021-12-10,1062271419.98773
2021-12-11,1061215590.89585
2021-12-12,1058823780.83186
2021-12-13,1088043078.88478
2021-12-14,1105502316.13965
2021-12-15,1109724184.61501
2021-12-16,1108527996.7604
2021-12-17,1110089523.4766
2021-12-18,1109946240.3738
2021-12-19,1126994395.06728
2021-12-20,1124961621.66409
2021-12-21,1126954670.93696
2021-12-22,1126984421.31811
2021-12-23,1143791671.7278
2021-12-24,1202607393.95745
2021-12-25,1219551122.30637
2021-12-26,1219508548.6412
2021-12-27,1218651025.53687
2021-12-28,1219367080.14051
2021-12-29,1248821910.78849
2021-12-30,1306151923.91845
2021-12-31,1340958687.56818
2022-01-01,1380101655.89314
2022-01-02,1396865480.33793
2022-01-03,1417815210.58724
2022-01-04,1453838805.19284
2022-01-05,1488397391.02627
2022-01-06,1489059472.67863
2022-01-07,1488990185.68365
2022-01-08,1503827980.56044
2022-01-09,1488843693.58319
2022-01-10,1486266047.6491
2022-01-11,1554919363.56228
2022-01-12,1630956092.06011
2022-01-13,1632090094.41583
2022-01-14,1640466940.31371
2022-01-15,1657237766.0214
2022-01-16,1694989251.97393
2022-01-17,1695495381.75006
2022-01-18,1746868792.41055
2022-01-19,1758855710.32359
2022-01-20,1906072652.83408
2022-01-21,2108060914.5901
2022-01-22,2097776257.01767
2022-01-23,2202757892.56619
2022-01-24,2284992066.41511
2022-01-25,2234504102.52918
2022-01-26,2171560663.43664
2022-01-27,2219042030.78272
2022-01-28,2172385611.58532
2022-01-29,2228621968.92493
2022-01-30,2227770648.87056
2022-01-31,2231620548.36458
2022-02-01,2222834217.36627
2022-02-02,2224044031.49029
2022-02-03,2223231727.98673
2022-02-04,2221477038.08482
2022-02-05,2243342863.8875
2022-02-06,2233590332.9168
2022-02-07,2229684342.6898
2022-02-08,2228618562.82834
2022-02-09,2219861489.6665
2022-02-10,2217637105.06343
2022-02-11,2217170374.80538
2022-02-12,2272384274.36686
2022-02-13,2274874709.96362
2022-02-14,2277047169.72402
2022-02-15,2274815624.06317
2022-02-16,2274403723.55638
2022-02-17,2272330435.07229
2022-02-18,2271093609.91699
2022-02-19,2272012927.21444
2022-02-20,2273941342.5499
2022-02-21,2268031724.57108
2022-02-22,2272822088.07636
2022-02-23,2267469503.73722
2022-02-24,2267869124.9442
2022-02-25,2288513988.06407
2022-02-26,2403736310.65941
2022-02-27,2404583396.03742
2022-02-28,2450372013.21943
2022-03-01,2444183428.00399
2022-03-02,2447265520.84936
2022-03-03,2483237881.69204
2022-03-04,2469732477.48553
2022-03-05,2468715082.86953
2022-03-06,2469008252.43286
2022-03-07,2464731798.14365
2022-03-08,2465462908.06893
2022-03-09,2468483223.24894
2022-03-10,2469794281.95707
2022-03-11,2467236216.79017
2022-03-12,2471926222.92788
2022-03-13,2470388562.15168
2022-03-14,2468978525.73982
2022-03-15,2473559637.61538
2022-03-16,2430468360.33457
2022-03-17,2468637519.71501
2022-03-18,2467418630.54043
2022-03-19,2353423174.9454
2022-03-20,2358112419.88997
2022-03-21,2347822030.0869
2022-03-22,2296824681.19168
2022-03-23,2342833410.24151
2022-03-24,2340799696.92633
2022-03-25,2337213432.57364
2022-03-26,2335721067.85273
2022-03-27,2334626560.40485
2022-03-28,2282554400.85594
2022-03-29,2289078270.93825
2022-03-30,2292427675.27339
2022-03-31,2304164807.24413
2022-04-01,2293086853.63496
2022-04-02,2306101265.25401
2022-04-03,2300857350.87771
2022-04-04,2301003336.87498
2022-04-05,2385224579.96076
2022-04-06,2385894826.1083
2022-04-07,2212845565.81361
2022-04-08,2312887680.55796
2022-04-09,2322114948.48548
2022-04-10,2318868345.19117
2022-04-11,2313719100.64191
2022-04-12,2316527730.96514
2022-04-13,2315208840.50694
2022-04-14,2319090929.06303
2022-04-15,2322836604.84243
2022-04-16,2323606802.06222
2022-04-17,2321394006.18156
2022-04-18,2327415939.45719
2022-04-19,2327082701.95131
2022-04-20,2334040315.6516
2022-04-21,2337178274.24004
2022-04-22,2339509723.13953
2022-04-23,2340541154.35787
2022-04-24,2343107265.16815
2022-04-25,2340243908.92333
2022-04-26,2338128601.41346
2022-04-27,2334231332.17858
2022-04-28,2333680386.94065
2022-04-29,2337227272.84783
2022-04-30,2337017615.78457
2022-05-01,2316150598.22558
2022-05-02,2317091638.34821
2022-05-03,2316711672.34113
2022-05-04,2319671987.3004
2022-05-05,2321191717.131
2022-05-06,2318545128.52751
2022-05-07,2314175762.17576
2022-05-08,2313541475.69026
2022-05-09,2315366835.50248
2022-05-10,2311419342.29678
2022-05-11,2253772387.44412
2022-05-12,1731767797.05143
2022-05-13,1468076602.36878
2022-05-14,1302733548.53392
2022-05-15,1325285211.77716
2022-05-16,1305135564.13208
2022-05-17,1304819458.95044
2022-05-18,1298684081.53119
2022-05-19,1286650512.39563
2022-05-20,1253782808.12825
2022-05-21,1252812465.14863
2022-05-22,1260015374.52543
2022-05-23,1249718789.24142
2022-05-24,1249999100.28027
2022-05-25,1248771012.02244
2022-05-26,1253840551.24932
2022-05-27,1254857169.80897
2022-05-28,1254839273.58671
2022-05-29,1265718305.26756
2022-05-30,1266969694.76481
2022-05-31,1261423945.52277
2022-06-01,1261593374.22266
2022-06-02,1268608480.77994
2022-06-03,1262510595.39386
2022-06-04,1306922668.85491
2022-06-05,1307478537.98825
2022-06-06,1308911663.54057
2022-06-07,1308931318.60865
2022-06-08,1323545725.69254
2022-06-09,1321809910.78045
2022-06-10,1319951594.8913
2022-06-11,1341322087.32237
2022-06-12,1339905396.12071
2022-06-13,1343783158.80547
2022-06-14,1339690437.57834
2022-06-15,1332152219.89769
2022-06-16,1297274339.87171
2022-06-17,1290962725.20802
2022-06-18,1294514086.13484
2022-06-19,1265535562.26397
2022-06-20,1266812680.09553
2022-06-21,1268762853.1896
2022-06-22,1268670505.30443
2022-06-23,1264399851.23065
2022-06-24,1267825239.12409
2022-06-25,1271281566.96486
2022-06-26,1269534367.47335
2022-06-27,1320574404.40708
2022-06-28,1312839240.24774
2022-06-29,1312713725.04156
2022-06-30,1312786220.06675
2022-07-01,1307308488.87986
2022-07-02,1307107426.43221
2022-07-03,1305797671.67796
2022-07-04,1304540326.4135
2022-07-05,1262551487.0444
2022-07-06,1261272643.91293
2022-07-07,1261618285.73198
2022-07-08,1260340562.50266
2022-07-09,1262803228.05088
2022-07-10,1262826457.80125
2022-07-11,1262773974.70786
2022-07-12,1260885853.29539
2022-07-13,1259613809.01615
2022-07-14,1259546270.35949
2022-07-15,1261723378.17175
2022-07-16,1260879351.13728
2022-07-17,1260672074.0006
2022-07-18,1262239591.61285
2022-07-19,1266117649.78155
2022-07-20,1284292362.17578
2022-07-21,1277774058.72372
2022-07-22,1278731104.79031
2022-07-23,1263799915.17471
2022-07-24,1261308301.93087
2022-07-25,1262587239.09845
2022-07-26,1265654458.13021
2022-07-27,1263125305.76806
2022-07-28,1261534068.54689
2022-07-29,1280032638.90571
2022-07-30,1280216200.07741
2022-07-31,1277494074.18368
2022-08-01,1278038361.8743
2022-08-02,1280557765.3473
2022-08-03,1258109345.26614
2022-08-04,1201338127.63451
2022-08-05,1201318033.51275
2022-08-06,1205616774.80153
2022-08-07,1202836659.90226
2022-08-08,1200916436.71282
2022-08-09,1202797444.96686
2022-08-10,1204485144.3298
2022-08-11,1204469628.91505
2022-08-12,1210669860.74396
2022-08-13,1216098562.51667
2022-08-14,1219288059.35096
2022-08-15,1209029794.22523
2022-08-16,1209012670.41735
2022-08-17,1210771221.78353
2022-08-18,1209315190.89916
2022-08-19,1208176934.63274
2022-08-20,1209533893.60948
2022-08-21,1209565941.17065
2022-08-22,1195725641.87258
2022-08-23,1103513071.77669
2022-08-24,1102681141.38235
2022-08-25,1104112314.82351
2022-08-26,1106599549.49536
2022-08-27,1109415182.54919
2022-08-28,1349625306.04639
2022-08-29,1349879297.50071
2022-08-30,1310162287.18977
2022-08-31,1311293684.18068
2022-09-01,1306839009.6592
2022-09-02,1311230852.57722
2022-09-03,1291447300.73399
2022-09-04,1291476543.05263
2022-09-05,1291679070.11608
2022-09-06,1187036202.18587
2022-09-07,1182406918.13862
2022-09-08,1183703417.92083
2022-09-09,1183706978.07685
2022-09-10,1183952668.1622
2022-09-11,1183971482.48869
2022-09-12,1182474447.78779
2022-09-13,1182833060.3892
2022-09-14,1181540796.88004
2022-09-15,1211915978.48298
2022-09-16,1210566818.13658
2022-09-17,1211808720.50434
2022-09-18,1213183889.29271
2022-09-19,1212113899.35036
2022-09-20,1163183601.7339
2022-09-21,1131187507.42482
2022-09-22,1136410557.42828
2022-09-23,1136436629.73791
2022-09-24,1136438435.92345
2022-09-25,1135022993.77213
2022-09-26,1138758441.8359
2022-09-27,1136499809.82912
2022-09-28,1140721688.63046
2022-09-29,1142469569.69838
2022-09-30,1139088665.72217
2022-10-01,1140240583.47549
2022-10-02,1148250954.68882
2022-10-03,1147786102.62182
2022-10-04,1147863310.69318
2022-10-05,1149737738.93334
2022-10-06,1149650586.27009
2022-10-07,1150902802.16735
2022-10-08,1152417383.50789
2022-10-09,1145376878.39022
2022-10-10,1146018450.38744
2022-10-11,1151439160.8455
2022-10-12,1148993725.68979
2022-10-13,1150533942.604
2022-10-14,1151727254.02328
2022-10-15,1148349682.20533
2022-10-16,1148859594.23667
2022-10-17,1148702692.49426
2022-10-18,1152973488.07991
2022-10-19,1151472805.52851
2022-10-20,1159142923.59897
2022-10-21,1153377101.17042
2022-10-22,1156585847.0098
2022-10-23,1155431009.52573
2022-10-24,1155958701.34694
2022-10-25,1110372144.96779
2022-10-26,1109267250.15603
2022-10-27,1109446512.86995
2022-10-28,1110530573.25321
2022-10-29,1108400756.16938
2022-10-30,1109308993.53098
2022-10-31,1110065249.79374
2022-11-01,1109360914.35324
2022-11-02,1110104263.30506
2022-11-03,1110071338.05358
2022-11-04,1110042775.80061
2022-11-05,1109926340.18752
2022-11-06,1122354104.87718
2022-11-07,1125536217.72008
2022-11-08,1124416023.9018
2022-11-09,1123312892.11493
2022-11-10,1128725256.98687
2022-11-11,940264516.7866
2022-11-12,938505325.87889
2022-11-13,935474355.49277
2022-11-14,934949515.28265
2022-11-15,933692401.48716
2022-11-16,934652535.12289
2022-11-17,933759595.3269
2022-11-18,933045277.55644
2022-11-19,982350037.95262
2022-11-20,1009013124.01828
2022-11-21,1009021356.97029
2022-11-22,1035190562.86745
2022-11-23,1058553816.75871
2022-11-24,1058557453.64002
2022-11-25,1057534837.44662
2022-11-26,1056433281.24419
2022-11-27,1057633256.58862
2022-11-28,1057664358.8393
2022-11-29,1079004528.28127
2022-11-30,1084450183.78139
2022-12-01,1081807662.16951
